ID,Modeltype,Time,Observation,Observation ID
1,1,0,10,1
1,1,7,216.7853031,1
1,1,11,342.7426765,1
1,1,14,382.2898921,1
1,1,17,576.4063293,1
1,1,20,1102.050386,1
1,1,23,1186.440678,1
1,1,26,1144.865319,1
2,1,0,10,1
2,1,7,268.106222,1
2,1,11,618.882977,1
2,1,14,1016.379354,1
2,1,17,2147.018116,1
2,1,20,2401.187105,1
2,1,23,3692.364746,1
2,1,26,4916.721254,1
2,1,29,8529.046189,1
3,1,0,10,1
3,1,7,193.0058286,1
3,1,11,573.6105054,1
3,1,14,1115.97092,1
3,1,17,1724.193537,1
3,1,20,1628.345149,1
4,1,0,10,1
4,1,7,176.7280592,1
4,1,11,424.5138198,1
4,1,14,804.7703713,1
4,1,17,1315.01357,1
4,1,20,1513.062999,1
4,1,23,3185.338187,1
4,1,26,4227.292395,1
4,1,29,4884.740166,1
5,1,0,10,1
5,1,7,146.5289878,1
5,1,11,231.076055,1
5,1,14,311.4740095,1
5,1,17,607.4576271,1
5,1,20,727.2618647,1
6,1,0,10,1
6,1,7,243.5650075,1
6,1,11,501.1971822,1
6,1,14,729.3793681,1
6,1,17,1151.026021,1
6,1,20,1393.120795,1
6,1,23,2606.610169,1
6,1,26,2984.197291,1
6,1,29,5369.330882,1
7,1,0,10,1
7,1,7,157.2917884,1
7,1,11,801.6450517,1
7,1,14,1444.120075,1
7,1,17,3945.652269,1
7,1,20,5611.021276,1
7,1,23,9153.29553,1
7,1,26,11363.46664,1
8,1,0,10,1
8,1,7,166.4530183,1
8,1,11,678.5390732,1
8,1,14,781.4295814,1
8,1,17,1444.120075,1
8,1,20,2496.807729,1
8,1,23,5182.039381,1
8,1,26,4677.161754,1
8,1,29,9137.827154,1
9,1,0,10,1
9,1,7,193.978149,1
9,1,11,290.0755768,1
9,1,14,435.9353386,1
9,1,17,1076.106897,1
9,1,20,1250.176074,1
9,1,23,2052.305455,1
10,2,0,10,1
10,2,7,216.7853031,1
10,2,11,240.4222576,1
10,2,14,108.5150776,1
10,2,17,1207.86055,1
10,2,20,1151.202203,1
10,2,23,2136.833271,1
10,2,26,4125.502278,1
10,2,29,4959.6619,1
11,2,0,10,1
11,2,7,268.106222,1
11,2,11,269.1909395,1
11,2,14,606.0344546,1
11,2,17,864.9152542,1
11,2,20,864.7550897,1
12,2,0,10,1
12,2,7,193.0058286,1
12,2,11,268.106222,1
12,2,14,130.8693009,1
12,2,17,111.738168,1
12,2,20,161.4844795,1
12,2,23,406.9491525,1
12,2,26,256.2711864,1
12,2,29,282.7620339,1
13,2,0,10,1
13,2,7,176.7280592,1
13,2,11,148.3050847,1
13,2,14,729.3793681,1
13,2,17,1923.378061,1
13,2,20,2099.48375,1
13,2,23,2120.830311,1
13,2,26,2438.652337,1
13,2,29,2256.581565,1
14,2,0,10,1
14,2,7,146.5289878,1
14,2,11,387.1805575,1
14,2,14,845.7662784,1
14,2,17,916.6724215,1
14,2,20,1206.965507,1
14,2,23,1636.26254,1
15,2,0,10,1
15,2,7,243.5650075,1
15,2,11,329.8833734,1
15,2,14,626.0597743,1
15,2,17,1220.414347,1
15,2,20,1595.42868,1
15,2,23,2600.134887,1
15,2,26,4069.01238,1
16,2,0,10,1
16,2,7,157.2917884,1
16,2,11,224.9142324,1
16,2,14,352.1973183,1
16,2,17,518.6564146,1
16,2,20,951.5096034,1
17,2,0,10,1
17,2,7,166.4530183,1
17,2,11,192.0351382,1
17,2,14,483.9383759,1
17,2,17,864.9152542,1
17,2,20,1778.905885,1
17,2,23,1941.804889,1
17,2,26,4009.043334,1
17,2,29,6036.835596,1
18,2,0,10,1
18,2,7,193.978149,1
18,2,11,318.3361975,1
18,2,14,314.8988727,1
18,2,17,580.6085523,1
18,2,20,823.2920412,1
19,3,0,10,1
19,3,7,216.7853031,1
19,3,11,358.149871,1
19,3,14,468.1870984,1
19,3,17,655.0412122,1
19,3,20,796.1855058,1
19,3,23,1908.345188,1
19,3,26,2299.271254,1
19,3,29,3468.380219,1
20,3,0,10,1
20,3,7,268.106222,1
20,3,11,208.7567373,1
20,3,14,197.8836768,1
20,3,17,418.2123435,1
20,3,20,1029.930968,1
